code, lat, lng, point, alt, name, region, name_k, region_k
JA8/KK-115,43.9832,142.2486,2,536,Wassamutouge,Uryu-gun<JCG#01081A>Kawakami(kawakami)-gun<JCG#01023M>,和寒峠(三角点),北海道雨竜郡幌加内町<JCG#01081A>北海道上川郡和寒町<JCG#01023M>
JA8/KK-116,44.6504,142.2247,2,534,P534,Nkakagawa(Kamikawa)-gun<JCG#01050A>,点534,北海道中川郡音威子府村<JCG#01050A>
JA8/KK-117,43.9535,142.4126,2,521,P521,Kawakami(kawakami)-gun<JCG#01023M>Kawakami(kawakami)-gun<JCG#01023D>,点521,北海道上川郡和寒町<JCG#01023M>北海道上川郡鷹栖町<JCG#01023D>
JA8/KK-118,44.1468,142.5515,2,516,Higashinaidaibu,Shibetsu-city<JCC#0120>,東内大部(三角点),北海道士別市<JCC#0120>
JA8/KK-119,44.7621,142.2996,2,500,Otoeneppu,Nkakagawa(Kamikawa)-gun<JCG#01050A>Esashi-gun<JCG#01015B>,音江根布(三角点),北海道中川郡音威子府村<JCG#01050A>北海道枝幸郡枝幸町<JCG#01015B>
JA8/KK-120,43.2136,142.471,1,488,Toudaiensyurin,Furano-city<JCC#0129>,東大演習林(相ノ沢(三角点)),北海道富良野市<JCC#0129>
JA8/KK-121,43.7872,142.5358,1,482,Kuroiwayama,Kawakami(kawakami)-gun<JCG#01023E>Asahikawa-ku<JCC#0102>,黒岩山,北海道上川郡当麻町<JCG#01023E>北海道旭川市<JCC#0102>
JA8/KK-122,43.8949,142.2712,1,470,P470,Asahikawa-ku<JCC#0102>Kawakami(kawakami)-gun<JCG#01023D>,点470,北海道旭川市<JCC#0102>北海道上川郡鷹栖町<JCG#01023D>
JA8/KK-123,44.2826,142.1786,1,448,Yanisamanaidake,Uryu-gun<JCG#01081A>,耶似様内岳,北海道雨竜郡幌加内町<JCG#01081A>
JA8/KK-124,43.9812,142.4434,1,444,Togariyama,Kawakami(kawakami)-gun<JCG#01023M>,尖山,北海道上川郡和寒町<JCG#01023M>
JA8/KK-126,44.6041,142.0826,1,433,Kurumiyama,Nkakagawa(Kamikawa)-gun<JCG#01050B>,胡桃山,北海道中川郡中川町<JCG#01050B>
